date,volume,price
09:57:42,5000,6280.0
09:57:47,2031,6290.0
09:58:11,1500,6280.0
09:58:13,2534,6280.0
09:58:24,1615,6280.0
09:58:27,6000,6280.0
09:58:30,1400,6280.0
09:58:33,11771,6280.0
09:58:33,55760,6280.0
09:58:33,72469,6280.0
09:58:39,8100,6280.0
09:58:40,17449,6280.0
09:58:40,38572,6280.0
09:58:40,26073,6280.0
09:58:40,52906,6280.0
09:58:44,2077,6290.0
09:58:48,1604,6280.0
09:58:51,28846,6280.0
09:58:51,34216,6280.0
09:58:51,36938,6280.0
09:58:55,1000,6290.0
09:59:06,400,6280.0
09:59:16,10000,6280.0
09:59:22,9000,6280.0
09:59:26,607,6280.0
09:59:27,24906,6280.0
09:59:27,1954,6280.0
09:59:34,2447,6290.0
09:59:50,88957,6280.0
09:59:50,61043,6280.0
09:59:51,795,6290.0
09:59:54,2000,6280.0
09:59:59,795,6290.0
10:00:09,2000,6290.0
10:00:10,1743,6280.0
10:00:10,72320,6280.0
10:00:10,21010,6280.0
10:00:10,48815,6280.0
10:00:10,56112,6280.0
10:00:13,10793,6280.0
10:00:13,53488,6280.0
10:00:13,19331,6280.0
10:00:13,98391,6280.0
10:00:13,17997,6280.0
10:00:15,76714,6280.0
10:00:15,48868,6280.0
10:00:15,65383,6280.0
10:00:15,9035,6280.0
10:00:26,2000,6280.0
10:00:35,3340,6280.0
10:00:45,53662,6280.0
10:00:45,52392,6280.0
10:00:45,11523,6280.0
10:00:45,9262,6280.0
10:00:45,34187,6280.0
10:00:45,38974,6280.0
10:00:50,29181,6280.0
10:00:50,81290,6280.0
10:00:50,89529,6280.0
10:00:55,1000,6280.0
10:00:55,7665,6280.0
10:00:55,11383,6280.0
10:00:55,72943,6280.0
10:00:55,18176,6280.0
10:00:55,42293,6280.0
10:00:55,47540,6280.0
10:01:00,50138,6280.0
10:01:00,56003,6280.0
10:01:00,43859,6280.0
10:01:00,21548,6280.0
10:01:00,14089,6280.0
10:01:00,1500,6280.0
10:01:03,5676,6280.0
10:01:06,11900,6280.0
10:01:07,44746,6280.0
10:01:07,5254,6280.0
10:01:12,6236,6280.0
10:01:13,12100,6290.0
10:01:19,20613,6290.0
10:01:21,4500,6280.0
10:01:27,596,6290.0
10:01:32,3000,6290.0
10:01:33,696,6280.0
10:01:35,32536,6280.0
10:01:35,6425,6280.0
10:01:35,980,6280.0
10:01:35,1000,6280.0
10:01:35,1100,6280.0
10:01:35,3172,6280.0
10:01:35,3994,6280.0
10:01:35,825,6280.0
10:01:35,1647,6280.0
10:01:35,809,6280.0
10:01:35,1000,6280.0
10:01:35,1609,6280.0
10:01:35,1234,6280.0
10:01:35,3000,6280.0
10:01:35,7550,6280.0
10:01:35,1266,6280.0
10:01:35,1574,6280.0
10:01:35,30000,6280.0
10:01:35,2000,6280.0
10:01:35,98279,6280.0
10:01:37,5500,6290.0
10:01:38,800,6290.0
10:01:40,1500,6280.0
10:01:45,1,6280.0
10:01:52,1000,6280.0
10:01:54,58220,6280.0
10:01:54,800,6280.0
10:01:54,2500,6280.0
10:01:54,809,6280.0
10:01:54,1037,6280.0
10:01:54,3628,6280.0
10:01:54,43,6280.0
10:01:54,1000,6280.0
10:01:55,10000,6280.0
10:02:05,2500,6280.0
10:02:10,2844,6270.0
10:02:13,1000,6280.0
10:02:19,5000,6270.0
10:02:22,2000,6280.0
10:02:32,50000,6270.0
10:02:39,142156,6270.0
10:02:39,2800,6270.0
10:02:39,1914,6270.0
10:02:39,8029,6270.0
10:02:39,1000,6270.0
10:02:39,1350,6270.0
10:02:39,1280,6270.0
10:02:39,803,6270.0
10:02:39,1200,6270.0
10:02:39,810,6270.0
10:02:39,9220,6270.0
10:02:39,1191,6270.0
10:02:39,5422,6270.0
10:02:39,20000,6270.0
10:02:39,1000,6270.0
10:02:39,1825,6270.0
10:02:44,5000,6280.0
10:02:57,5531,6280.0
10:03:02,4000,6280.0
10:03:04,5070,6270.0
10:03:06,3000,6270.0
10:03:17,759,6270.0
10:03:36,1031,6280.0
10:03:48,5235,6270.0
10:03:48,4765,6270.0
10:04:03,2877,6270.0
10:04:03,2358,6270.0
10:04:03,807,6270.0
10:04:03,16835,6270.0
10:04:39,5578,6270.0
10:04:51,17587,6270.0
10:04:51,1770,6270.0
10:04:51,832,6270.0
10:05:24,5600,6270.0
10:05:31,3754,6270.0
10:05:37,1000,6260.0
10:05:39,82371,6260.0
10:05:39,94782,6260.0
10:05:39,22847,6260.0
10:05:41,10000,6260.0
10:05:53,10000,6270.0
10:05:56,3000,6270.0
10:06:02,900,6260.0
10:06:04,4457,6270.0
10:06:04,543,6270.0
10:06:04,7970,6270.0
10:06:04,23868,6260.0
10:06:05,3935,6260.0
10:06:05,65,6260.0
10:06:15,3142,6260.0
10:06:31,1588,6270.0
10:06:34,3527,6260.0
10:06:34,2114,6260.0
