date,str_date,Open,Symbol,Name,Close,Last Trade,Quantity,Volume,Value,Min,Max,Yesterday Price,Change
2020-04-18,2020-04-18,20171.0,غالبر,لبنيات‌كالبر,20161.0,20171.0,1579,2599741,52416601875.0,20000.0,20171.0,19211.0,950.0
2020-04-18,2020-04-18,31116.0,شگل,گلتاش‌,31100.0,31116.0,1145,1812581,56371425639.0,30820.0,31116.0,29635.0,1465.0
2020-04-18,2020-04-18,13422.0,وايران,ليزينگ ايرانيان,13417.0,13424.0,4054,25120473,337046822321.0,13140.0,13424.0,12785.0,632.0
2020-04-18,2020-04-18,13982.0,كگل,معدني و صنعتي گل گهر,13975.0,13982.0,2949,12525842,175054420242.0,13800.0,13982.0,13317.0,658.0
2020-04-18,2020-04-18,7910.0,وسپه,سرمايه‌گذاري‌ سپه‌,8012.0,8016.0,1602,33251180,266424011765.0,7802.0,8016.0,7635.0,377.0
2020-04-18,2020-04-18,9784.0,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,9869.0,9876.0,2409,30630189,302295165493.0,9700.0,9876.0,9406.0,463.0
2020-04-18,2020-04-18,47289.0,بموتو,موتوژن‌,47255.0,47292.0,2481,4393134,207597604245.0,46395.0,47292.0,45040.0,2215.0
2020-04-18,2020-04-18,18052.0,خفنر,فنرسازي‌خاور,18037.0,18052.0,2561,5447486,98258927115.0,17900.0,18052.0,17193.0,844.0
2020-04-18,2020-04-18,43187.0,ستران,سيمان‌ تهران‌,43149.0,43187.0,5534,6556651,282912842195.0,42368.0,43187.0,41131.0,2018.0
2020-04-18,2020-04-18,964.0,وبصادر,بانك صادرات ايران,964.0,964.0,7699,258306718,249007676152.0,964.0,964.0,919.0,45.0
